,aid,view,danmaku,reply,favorite,coin,share
1071,1865,1189,27,1,7,0,0
1072,1864,43471,731,107,929,70,384
1073,1866,1318,25,9,0,0,1
1074,1868,2986,130,26,65,3,0
1075,1869,2191,15,4,1,17,0
1076,1872,2370,54,8,46,2,1
1077,1871,657,42,3,1,0,0
1078,1873,2111,42,16,15,1,2
1079,1878,7248,394,37,15,3,0
1080,1879,117569,6320,1845,3965,275,99
1081,1877,766,8,4,4,1,0
1082,1883,988,43,13,2,0,0
1083,1884,7232,278,25,96,16,5
1084,1880,1234,44,6,1,0,0
1085,1885,1016,9,5,4,0,0
1086,1893,1487,55,19,3,0,0
1087,1887,2447,109,4,13,4,0
1088,1895,3264,161,18,11,0,0
1089,1897,1460,5,4,1,0,1
1090,1890,91349,6998,79,2352,49,21
1091,1892,3318,91,2,11,0,0
1092,1894,1580,2,4,1,0,1
1093,1899,2370,50,17,11,0,1
1094,1896,551,5,2,4,0,1
1095,1898,-1,408,71,113,3,1
1096,1903,644,15,2,3,0,0
1097,1906,1366,2,4,5,0,0
1098,1905,2487,30,11,5,0,0
1099,1901,2023,319,19,93,11,0
1100,1902,3883,28,5,2,4,0
1101,1913,1061,34,4,8,0,0
1102,1912,1390,55,28,3,1,0
1103,1915,1343,71,3,3,0,0
1104,1914,825,4,8,4,1,0
1105,1917,2747,118,24,22,3,0
1106,1918,1518,7,10,8,0,1
1107,1920,1809,46,14,4,1,0
1108,1921,2190,103,23,14,1,1
1109,1919,11652,323,80,164,10,1
1110,1926,7893,120,79,90,3,3
1111,1929,2579,88,15,52,4,0
1112,1928,7183,124,15,138,6,2
1113,1931,10237,106,17,7,0,0
1114,1935,8541,585,74,153,4,2
1115,1934,773,7,5,4,0,0
1116,1936,5725,175,8,38,0,0
1117,1937,4465,72,34,27,1,0
1118,1938,1453,34,4,20,1,0
1119,1933,139032,2012,82,99,90,4
1120,1946,-1,458,12,15,3,0
1121,1952,1142,29,3,3,0,0
1122,1950,1194,49,15,25,5,1
1123,1940,4978,31,6,4,0,0
1124,1970,27993,642,34,355,36,59
1125,1979,3428,144,29,5,0,1
1126,1953,3141,146,27,18,0,1
1127,1971,3837,84,14,5,0,0
1128,1977,2950,35,6,27,4,1
1129,1963,1184,5,3,5,1,1
1130,1983,3730,72,12,6,3,0
1131,1951,935,6,7,2,0,0
1132,1975,8303,324,55,75,7,3
1133,1960,988,28,4,11,0,0
1134,1964,1540,65,12,1,0,0
1135,1974,1588,32,5,11,3,1
1136,1949,3585,69,65,37,2,1
1137,1944,11185,109,8,37,1,9
1138,1967,16790,421,20,43,2,10
1139,1978,7781,159,36,64,1,2
1140,1961,330972,4109,1407,8813,987,237
1141,1976,2956,24,13,6,1,0
1142,1958,1817,51,12,12,0,0
1143,1973,1606,8,6,1,0,0
1144,1959,13837,943,19,62,2,0
1145,1966,1694,13,19,4,0,0
1146,1942,17095,118,15,24,2,1
1147,1945,28111,941,62,211,7,5
1148,1957,6047,99,10,105,7,0
1149,1991,2885,80,17,16,1,1
1150,1982,1354,10,12,1,0,0
1151,1993,2161,47,10,8,0,0
1152,1990,4374,74,17,9,2,0
1153,1987,9778,174,11,10,3,2
1154,1981,7710,114,15,112,7,4
1155,1984,22593,101,92,191,6,4
1156,1985,4292,25,7,14,0,0
1157,1980,2985,103,20,7,0,0
1158,1996,5584,61,50,45,4,0
1159,1988,58820,425,145,522,69,62
